bx,by,bz,sigma_n,sigma_t_norm,P_n,P_t_norm,u_n,u_t0,u_t_norm,s,slip_ratio,zone
1.0000000000e+00,3.1250000000e-02,0.0000000000e+00,-7.6886288946e-02,5.7454665307e-02,-7.6886314359e-02,5.7454200166e-02,1.5883209522e-11,0.0000000000e+00,2.9071348550e-10,7.6886314359e-14,7.4726172850e+11,1
1.0000000000e+00,9.3750000000e-02,0.0000000000e+00,-7.5962558967e-02,8.1520722199e-02,-7.5962564140e-02,8.1520129863e-02,3.2333653873e-12,0.0000000000e+00,3.7020986275e-10,7.5962564140e-14,1.0731619027e+12,1
1.0000000000e+00,1.5625000000e-01,0.0000000000e+00,-4.7667893612e+01,7.0832171676e-02,-4.7667892116e+01,7.0826481429e-02,-9.3533711433e-10,0.0000000000e+00,3.5564042990e-09,4.7667892116e-11,1.4858320409e+09,1
1.0000000000e+00,2.1875000000e-01,0.0000000000e+00,-7.8953103189e-02,8.7704502737e-02,-7.8953098382e-02,8.7703911579e-02,-3.0045275723e-12,0.0000000000e+00,3.6947347626e-10,7.8953098382e-14,1.1108355894e+12,1
1.0000000000e+00,2.8125000000e-01,0.0000000000e+00,-8.2148618079e-02,8.9396791301e-02,-8.2148620801e-02,8.9396221583e-02,1.7013811377e-12,0.0000000000e+00,3.5607407501e-10,8.2148620801e-14,1.0882254712e+12,1
1.0000000000e+00,3.4375000000e-01,0.0000000000e+00,-8.2342442178e-02,8.9800326232e-02,-8.2342444348e-02,8.9799755973e-02,1.3559842976e-12,0.0000000000e+00,3.5641163286e-10,8.2342444348e-14,1.0905646132e+12,1
1.0000000000e+00,4.0625000000e-01,0.0000000000e+00,-8.2660430651e-02,8.7970026888e-02,-8.2660447174e-02,8.7969450168e-02,1.0326942295e-11,0.0000000000e+00,3.6044990480e-10,8.2660447174e-14,1.0642266426e+12,1
1.0000000000e+00,4.6875000000e-01,0.0000000000e+00,-4.8477971427e+01,7.3317423925e-02,-4.8477969865e+01,7.3311670890e-02,-9.7613645120e-10,0.0000000000e+00,3.5956465898e-09,4.8477969865e-11,1.5122677599e+09,1
1.0000000000e+00,5.3125000000e-01,0.0000000000e+00,-8.0473173167e-02,8.7292549233e-02,-8.0473181475e-02,8.7291952191e-02,5.1925041770e-12,0.0000000000e+00,3.7315106933e-10,8.0473181475e-14,1.0847334552e+12,1
1.0000000000e+00,5.9375000000e-01,0.0000000000e+00,-4.8636990917e+01,7.1304324229e-02,-4.8636989440e+01,7.1298484334e-02,-9.2305245452e-10,0.0000000000e+00,3.6499346293e-09,4.8636989440e-11,1.4659312830e+09,1
1.0000000000e+00,6.5625000000e-01,0.0000000000e+00,-4.7520625126e+01,7.1602460998e-02,-4.7520623682e+01,7.1596601420e-02,-9.0228914061e-10,0.0000000000e+00,3.6622365714e-09,4.7520623682e-11,1.5066427137e+09,1
1.0000000000e+00,7.1875000000e-01,0.0000000000e+00,-4.7856716061e+01,7.1036178908e-02,-4.7856714604e+01,7.1030305700e-02,-9.1058436845e-10,0.0000000000e+00,3.6707553277e-09,4.7856714604e-11,1.4842286247e+09,1
1.0000000000e+00,7.8125000000e-01,0.0000000000e+00,-4.8492755031e+01,7.2009068497e-02,-4.8492753450e+01,7.2003250346e-02,-9.8834479305e-10,0.0000000000e+00,3.6363439630e-09,4.8492753450e-11,1.4848249527e+09,1
1.0000000000e+00,8.4375000000e-01,0.0000000000e+00,-8.4605463610e-02,8.4293610309e-02,-8.4605469252e-02,8.4293016870e-02,3.5262702729e-12,0.0000000000e+00,3.7089962620e-10,8.4605469252e-14,9.9630694818e+11,1
1.0000000000e+00,9.0625000000e-01,0.0000000000e+00,-5.2427473128e+01,6.2981142329e-02,-5.2427471579e+01,6.2975094457e-02,-9.6820838510e-10,0.0000000000e+00,3.7799196100e-09,5.2427471579e-11,1.2011850383e+09,1
1.0000000000e+00,9.6875000000e-01,0.0000000000e+00,-7.7917518840e+01,2.7279537052e-02,-7.7917516196e+01,2.7272879390e-02,-1.6526375126e-09,0.0000000000e+00,4.1610388344e-09,7.7917516196e-11,3.5002244324e+08,1
