bx,by,bz,sigma_n,sigma_t_norm,P_n,P_t_norm,u_n,u_t0,u_t_norm,s,slip_ratio,zone
1.0000000000e+00,3.1250000000e-02,0.0000000000e+00,-9.9771228969e+00,7.0518113207e-02,-9.9770799396e+00,7.0702322148e-02,-2.6848301673e-08,0.0000000000e+00,1.1513058823e-07,1.9954159879e+00,3.5432372285e-02,2
1.0000000000e+00,9.3750000000e-02,0.0000000000e+00,-2.3475501734e-02,5.1520116426e-02,-2.3472977802e-02,5.1577811211e-02,-1.5774575554e-09,0.0000000000e+00,3.6059240152e-08,4.6945955604e-03,1.0986635706e+01,1
1.0000000000e+00,1.5625000000e-01,0.0000000000e+00,-2.6887622281e-02,4.9968771643e-02,-2.6887676641e-02,5.0024464691e-02,3.3975038999e-11,0.0000000000e+00,3.4808155043e-08,5.3775353282e-03,9.3024892702e+00,1
1.0000000000e+00,2.1875000000e-01,0.0000000000e+00,-2.5155613585e-02,5.0057852225e-02,-2.5155449935e-02,5.0113745813e-02,-1.0228146871e-10,0.0000000000e+00,3.4933492499e-08,5.0310899870e-03,9.9608128542e+00,1
1.0000000000e+00,2.8125000000e-01,0.0000000000e+00,-2.4597861915e-02,5.0005534591e-02,-2.4597729079e-02,5.0061402609e-02,-8.3022030182e-11,0.0000000000e+00,3.4917511016e-08,4.9195458159e-03,1.0176021219e+01,1
1.0000000000e+00,3.4375000000e-01,0.0000000000e+00,-2.4290387372e-02,4.9985718690e-02,-2.4290270766e-02,5.0041582693e-02,-7.2879112787e-11,0.0000000000e+00,3.4915002194e-08,4.8580541531e-03,1.0300746166e+01,1
1.0000000000e+00,4.0625000000e-01,0.0000000000e+00,-2.4098944011e-02,4.9948893170e-02,-2.4098783878e-02,5.0004727615e-02,-1.0008339605e-10,0.0000000000e+00,3.4896528015e-08,4.8197567756e-03,1.0374948352e+01,1
1.0000000000e+00,4.6875000000e-01,0.0000000000e+00,-2.4514440321e-02,5.0134194490e-02,-2.4515049028e-02,5.0190340421e-02,3.8044216847e-10,0.0000000000e+00,3.5091206719e-08,4.9030098056e-03,1.0236638802e+01,1
1.0000000000e+00,5.3125000000e-01,0.0000000000e+00,-2.5694411999e+00,6.4098730948e-02,-2.5694242898e+00,6.4261800282e-02,-1.0568790693e-08,0.0000000000e+00,1.0191833424e-07,5.1388485796e-01,1.2505097063e-01,2
1.0000000000e+00,5.9375000000e-01,0.0000000000e+00,-2.6302036334e+00,6.4064475885e-02,-2.6301871213e+00,6.4227542827e-02,-1.0320056996e-08,0.0000000000e+00,1.0191683878e-07,5.2603742426e-01,1.2209690768e-01,2
1.0000000000e+00,6.5625000000e-01,0.0000000000e+00,-2.6489493494e+00,6.4156759212e-02,-2.6489326693e+00,6.4319989066e-02,-1.0425087229e-08,0.0000000000e+00,1.0201865902e-07,5.2978653385e-01,1.2140736874e-01,2
1.0000000000e+00,7.1875000000e-01,0.0000000000e+00,-2.6875365049e+00,6.4317705984e-02,-2.6875195750e+00,6.4481247794e-02,-1.0581209339e-08,0.0000000000e+00,1.0221363161e-07,5.3750391499e-01,1.1996423839e-01,2
1.0000000000e+00,7.8125000000e-01,0.0000000000e+00,-2.7613290780e+00,6.4620494234e-02,-2.7613116770e+00,6.4784644111e-02,-1.0875662820e-08,0.0000000000e+00,1.0259367302e-07,5.5226233539e-01,1.1730773576e-01,2
1.0000000000e+00,8.4375000000e-01,0.0000000000e+00,-2.9137107500e+00,6.5159011160e-02,-2.9136919764e+00,6.5324149211e-02,-1.1733483961e-08,0.0000000000e+00,1.0321128169e-07,5.8273839528e-01,1.1209858444e-01,2
1.0000000000e+00,9.0625000000e-01,0.0000000000e+00,-2.8604329158e+00,6.6176933318e-02,-2.8604154217e+00,6.6343924137e-02,-1.0933802119e-08,0.0000000000e+00,1.0436926207e-07,5.7208308433e-01,1.1596903659e-01,2
1.0000000000e+00,9.6875000000e-01,0.0000000000e+00,-7.4386036948e-02,4.1318571185e-02,-7.4381856672e-02,4.1361807388e-02,-2.6126729630e-09,0.0000000000e+00,2.7022626912e-08,1.4876371334e-02,2.7803693830e+00,1
